Locationcode,ex_sourceID,LocationName,Province,isActive
9996,9996,Head Office,ON,FALSE
5214,5214,Empress Walk,ON,FALSE
5216,5216,Festival Hall,ON,FALSE
5217,5217,Dixon,ON,FALSE
5218,5218,Erin Mills,ON,FALSE
5219,5219,Queensway,ON,FALSE
5220,5220,Yorkdale,ON,FALSE
5221,5221,Markham,ON,FALSE
5223,5223,Newmarket,ON,FALSE
5225,5225,Scarborough Town Ctr,ON,FALSE
5226,5226,Burlington,ON,FALSE
5227,5227,Vaughan,ON,FALSE
5228,5228,Sussex,ON,FALSE
5231,5231,Pinecrest,ON,FALSE
5233,5233,Whitby,ON,FALSE
5235,5235,Heartland,ON,FALSE
5236,5236,Masonville,ON,FALSE
5239,5239,Burloak,ON,FALSE
5240,5240,Dundas Square,ON,FALSE
5242,5242,Hamilton,ON,FALSE
5247,5247,Guelph,ON,FALSE
5224,5224,Steven Ave.,AB,FALSE
5201,5201,Denman,BC,FALSE
5202,5202,Kitsilano,BC,FALSE
5203,5203,Burnaby,BC,FALSE
5204,5204,Victoria,BC,FALSE
5205,5205,Robson,BC,FALSE
5207,5207,Park Royal,BC,FALSE
5208,5208,Langley,BC,FALSE
5209,5209,Yaletown,BC,FALSE
5211,5211,Abbotsford,BC,FALSE
5212,5212,Kamloops,BC,FALSE
5213,5213,Coquitlam,BC,FALSE
5222,5222,Southpoint,BC,FALSE
5229,5229,South Commons,AB,FALSE
5230,5230,Southcentre Mall,AB,FALSE
5237,5237,Millstream,BC,FALSE
5238,5238,Market Mall,AB,FALSE
5244,5244,Kelowna,BC,FALSE
5245,5245,Crossroads,BC,FALSE
5249,5249,Whistler,BC,FALSE
676,676,BonAppetitGiftCards.com,,TRUE
8888,8888,Bon Appetite Gift Card Microsite,"",TRUE
