Ex_sourceid,PartnerID,PartnerName,isDeleted
7777,7777,Theatre St. Denis,FALSE
7778,7778,Live Entertainment,FALSE
7769,7769,Sport Chek,FALSE
7766,7766,Carrot Rewards,FALSE
7789,7789,Cineplex Store,FALSE
7790,7790,Marks,FALSE
7791,7791,Telus,FALSE
7792,7792,Rogers,FALSE
7793,7793,SCENEtourage,FALSE
7794,7794,Toys R Us,FALSE
7795,7795,SCENE,FALSE
7796,7796,Indigo,FALSE
7797,7797,Zast Foods,FALSE
7798,7798,Adidas,FALSE
7800,7800,Scotiabank Visa,FALSE
7801,7801,Scotiabank Debit,FALSE
7802,7802,Scotiabank Other,FALSE
7803,7803,Scotiabank Prepaid,FALSE
7804,7804,Cineplex,FALSE
7772,7772,Sport Experts,FALSE
7815,7815,Ticketmaster,FALSE
7799,7799,CARA,FALSE
7807,7807,ScotiaRewards,FALSE
